5 conf modelling,,,,,,,,,,,1 conf modelling,,,,,,,,,,,,,,
match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2,,,correct_prediction_1confmodel,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,,,,,,,,,,,
46673,1.4,1,0.99960886,0.714006329,0.280833828,04/01/2018,Thiem D.,Tsitsipas S.,,,1,0.98059938,0.700428128,0.206636965,,,,,,,,,,,
46674,2.15,1,1.43993551,0.669737446,0.380923897,04/01/2018,Rublev A.,Coric B.,,,1,1.604407457,0.746236026,0.368710577,,,,,,,,,,,
46675,1.19,1,1.052903948,0.884793234,0.093800226,04/01/2018,Cilic M.,Herbert P.H.,,,1,1.038114347,0.872364998,0.125776812,,,,,,,,,,,
46676,1.17,1,0.920508568,0.78675946,0.301910758,04/01/2018,Simon G.,Ojeda Lara R.,,,1,0.94922258,0.811301351,0.209680185,,,,,,,,,,,
46677,3.55,0,1.206377331,0.154347351,0.893612838,05/01/2018,Simon G.,Cilic M.,,,0,1.138461336,0.234334111,0.843304694,,,,,,,,,,,
46678,1.3,1,0.865288123,0.665606248,0.323240492,05/01/2018,Anderson K.,Paire B.,,,1,0.750211376,0.577085674,0.299879342,,,,,,,,,,,
46679,2.6,1,1.662916631,0.639583319,0.25810767,05/01/2018,Monfils G.,Thiem D.,,,1,1.459455884,0.561329186,0.339935422,,,,,,,,,,,
46680,1.37,1,1.166263004,0.851286864,0.125347087,05/01/2018,Dimitrov G.,Edmund K.,,,1,1.059582999,0.773418248,0.146188825,,,,,,,,,,,
46681,1.84,1,1.588982046,0.863577199,0.377589348,05/01/2018,Harrison R.,Istomin D.,,,1,1.595089688,0.86689657,0.56481421,,,,,,,,,,,
46682,1.44,1,1.0494079,0.728755486,0.201165885,05/01/2018,Kyrgios N.,Dolgopolov O.,,,1,0.960937386,0.667317629,0.137483209,,,,,,,,,,,
46683,1.8,1,1.465870786,0.814372659,0.155621922,05/01/2018,De Minaur A.,Mmoh M.,,,1,1.33083905,0.739355028,0.193589002,,,,,,,,,,,
46684,1.56,0,1.572144305,0.475029126,0.593262002,05/01/2018,Rublev A.,Pella G.,,,0,1.68766782,0.500960708,0.636855781,,,,,,,,,,,
46685,2.94,0,0.730371608,0.422344456,0.496851434,06/01/2018,Simon G.,Anderson K.,,,0,0.678299622,0.389428645,0.461428314,,,,,,,,,,,
46686,2.2,1,1.198535967,0.544789076,0.379540437,06/01/2018,Kyrgios N.,Dimitrov G.,,,1,1.289058828,0.585935831,0.443223476,,,,,,,,,,,
46687,1.63,1,1.238689091,0.759931958,0.162816611,06/01/2018,Monfils G.,Rublev A.,,,1,1.361925725,0.835537255,0.176706597,,,,,,,,,,,
46688,1.59,1,0.969490004,0.609742141,0.196473205,06/01/2018,Harrison R.,De Minaur A.,,,1,0.933539559,0.587131798,0.165734291,,,,,,,,,,,
46689,1.23,1,1.049207548,0.853014266,0.095238858,07/01/2018,Kyrgios N.,Harrison R.,,,1,1.126438515,0.915803671,0.050444346,,,,,,,,,,,
46690,1.8,0,1.274361673,0.429952383,0.603962878,07/01/2018,Sousa J.,Young D.,,,0,1.123624361,0.227965176,0.532523394,,,,,,,,,,,
46691,1.92,1,1.221686234,0.636294913,0.269488278,07/01/2018,Dzumhur D.,Struff J.L.,,,1,1.116527252,0.581524611,0.288594276,,,,,,,,,,,
46692,1.43,1,0.908271341,0.635154784,0.299615347,07/01/2018,Dolgopolov O.,Troicki V.,,,1,0.659381583,0.461106002,0.405062824,,,,,,,,,,,
46693,2.38,1,1.817791607,0.763777986,0.521355696,07/01/2018,Lorenzi P.,Thompson J.,,,1,2.001380879,0.840916336,0.626327395,,,,,,,,,,,
46694,1.85,1,1.718333412,0.928828871,0.295620245,08/01/2018,Berankis R.,Bolt A.,,,1,1.579122886,0.853579938,0.220795006,,,,,,,,,,,
46695,1.52,1,1.36759919,0.899736309,0.175775339,08/01/2018,Mannarino A.,Donskoy E.,,,1,1.248372059,0.821297407,0.244386792,,,,,,,,,,,
46696,2.39,0,0.509291095,0.234549049,0.310543351,08/01/2018,Medvedev D.,Kohlschreiber P.,,,0,0.586223977,0.179590091,0.357453644,,,,,,,,,,,
46697,1.23,1,1.137644853,0.924914515,0.083593135,08/01/2018,Ferrer D.,Wu Y.,,,1,1.124754353,0.914434433,0.157577381,,,,,,,,,,,
46698,1.54,0,1.424144452,0.458409153,0.543566585,08/01/2018,Gojowczyk P.,Smyczek T.,,,0,1.418408698,0.517991066,0.541377366,,,,,,,,,,,
46699,1.35,1,1.297379533,0.961021876,0.045767075,08/01/2018,Shapovalov D.,Dutra Silva R.,,,1,1.25478048,0.929467022,0.05766049,,,,,,,,,,,
46700,1.17,1,1.120142142,0.957386446,0.067466125,08/01/2018,Millman J.,Popyrin A.,,,1,1.100801008,0.940855563,0.051972132,,,,,,,,,,,
46701,,0,,0.397248397,0.660251419,08/01/2018,Cuevas P.,Daniel T.,,,0,,0.305573076,0.500348091,,,,,,,,,,,
46702,1.02,1,0.978293025,0.959110808,0.067545316,08/01/2018,Bautista Agut R.,Venus M.,,,1,0.956084633,0.937337875,0.045344159,,,,,,,,,,,
46703,1.61,1,1.02861139,0.638889062,0.278809971,08/01/2018,Khachanov K.,Sugita Y.,,,1,0.951208612,0.590812802,0.199726969,,,,,,,,,,,
46704,2.2,1,1.066412874,0.484733125,0.439047158,09/01/2018,Paire B.,Bedene A.,,,0,0.999752526,0.501804173,0.574570417,,,,,,,,,,,
46705,2.24,0,1.07945126,0.467269653,0.631258047,09/01/2018,Donaldson J.,Simon G.,,,0,0.896956481,0.46980837,0.524535954,,,,,,,,,,,
46706,2.01,1,1.325474266,0.659439933,0.33152467,09/01/2018,Mayer L.,Zverev M.,,,1,1.545569583,0.768940091,0.52964884,,,,,,,,,,,
46707,,1,,0.59728803,0.274504364,09/01/2018,Johnson S.,Caruana L.,,,1,,0.742479146,0.252523065,,,,,,,,,,,
46708,1.3,1,0.920306759,0.707928276,0.314288148,09/01/2018,Bautista Agut R.,Johnson S.,,,1,1.089974713,0.838442087,0.307899922,,,,,,,,,,,
46709,1.25,1,0.726373671,0.581098936,0.354565669,09/01/2018,Chung H.,Sandgren T.,,,1,0.611130856,0.488904685,0.396111995,,,,,,,,,,,
46710,1.4,1,1.230977123,0.879269373,0.180656147,09/01/2018,Haase R.,Ruud C.,,,1,1.308433902,0.934595644,0.226600736,,,,,,,,,,,
46711,2.57,1,2.153130197,0.837793851,0.224904284,09/01/2018,Lacko L.,Tsitsipas S.,,,1,2.314460548,0.900568306,0.275013596,,,,,,,,,,,
