ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best Of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,WSets,LSets,Comment,PSW,PSL
3,Pune,Tata Open Maharashtra,01/01/2019,ATP250,Outdoor,Hard,Round of 32,3,Vesely J.,Hoang A.,89,149,,,4,6,6,4,6,4,,,,,2,1,Completed,1.89,1.91
3,Pune,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Darcis S.,Carballes Baena R.,2000,73,,,6,3,6,4,,,,,,,2,0,Completed,2.38,1.59
3,Pune,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Munar J.,Albot R.,81,98,,,6,2,7,6,,,,,,,2,0,Completed,1.96,1.85
3,Pune,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Donskoy E.,Andujar P.,97,82,,,6,3,5,7,7,6,,,,,2,1,Completed,,
3,Pune,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Gulbis E.,Sousa P.,95,104,,,6,4,4,6,6,4,,,,,2,1,Completed,1.36,3.2
3,Pune,Tata Open Maharashtra,12/31/2018,ATP250,Outdoor,Hard,Round of 32,3,Mmoh M.,Gunneswaran P.,103,110,,,7,5,6,3,,,,,,,2,0,Completed,1.75,2.09
3,Pune,Tata Open Maharashtra,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Auger-Aliassime F.,Quinzi G.,108,155,,,7,5,6,3,,,,,,,2,0,Completed,1.5,2.57
3,Pune,Tata Open Maharashtra,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Hoang A.,Monteiro T.,149,120,,,4,6,6,3,6,2,,,,,2,1,Completed,1.73,2.07
3,Pune,Tata Open Maharashtra,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Bolelli S.,Ofner S.,141,179,,,7,6,7,5,,,,,,,2,0,Completed,1.75,2.04
3,Pune,Tata Open Maharashtra,12/30/2018,ATP250,Outdoor,Hard,2nd Round Qualifying,3,Myneni S.,Gerasimov E.,259,157,,,6,4,6,7,7,6,,,,,2,1,Completed,2.41,1.56
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,5,Auger-Aliassime F.,Arevalo M.,108,220,,,6,7,6,1,3,2,,,,,2,1,Retired,1.26,3.77
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Ofner S.,Bemelmans R.,179,117,,,5,7,6,3,6,1,,,,,2,1,Completed,2.19,1.66
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Monteiro T.,Brands D.,120,182,,,7,6,7,5,,,,,,,2,0,Completed,1.86,1.9
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Myneni S.,Jung J.,259,121,,,6,1,5,7,6,2,,,,,2,1,Completed,1.78,2
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Bolelli S.,Schnur B.,141,172,,,6,3,7,6,,,,,,,2,0,Completed,1.81,1.96
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Hoang A.,Martin A.,149,183,,,6,1,6,2,,,,,,,2,0,Completed,1.43,2.77
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Quinzi G.,Kumar Mukund S.,155,295,,,6,1,6,1,,,,,,,2,0,Completed,,
3,Pune,Tata Open Maharashtra,12/29/2018,ATP250,Outdoor,Hard,1st Round Qualifying,3,Gerasimov E.,Gimeno-Traver D.,157,189,,,6,3,3,6,6,2,,,,,2,1,Completed,1.22,4.2
