match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2699,2.2,1,1.4344647129376729,0.6520294149716696,0.2502133945624034,2019-01-01,Chardy J.,Struff J.L.
2731,2.01,1,1.424832389295101,0.7088718354701996,0.42507911622524264,2019-01-02,Basilashvili N.,Rublev A.
2817,1.93,1,1.4205669707059858,0.7360450625419617,0.239348778501153,2019-01-09,Simon G.,Querrey S.
2660,1.84,0,1.4152182061970235,0.5043028295040131,0.7409519404172897,2018-12-30,Uchiyama Y.,Polmans M.
2639,1.86,1,1.4002217522263527,0.7528073936700821,0.39673472195863724,2018-12-29,Monteiro T.,Brands D.
2815,2.08,1,1.3971027910709382,0.6716840341687202,0.3114091344177723,2019-01-09,Millman J.,Fucsovics M.
2705,1.64,1,1.3881250039736432,0.8464176853497823,0.5324200789133707,2019-01-01,Fucsovics M.,Copil M.
2744,2.57,1,1.3846693277955056,0.5387818396091462,0.23313211798667907,2019-01-03,Cecchinato M.,Lajovic D.
2669,1.93,0,1.381306836605072,0.4249470035235087,0.754812479019165,2018-12-30,Stakhovsky S.,Basic M.
2707,2.19,0,1.3798979275226593,0.326317785680294,0.8165076494216919,2019-01-01,Cecchinato M.,Stakhovsky S.
2672,1.75,1,1.3776993080973625,0.7872567474842072,0.6519994288682938,2018-12-31,Mmoh M.,Gunneswaran P.
2784,2.49,1,1.3466129395365716,0.5408084094524384,0.47943052649497986,2019-01-07,Sandgren T.,Marterer M.
2754,1.65,1,1.345593504309654,0.8155112147331238,0.23784795701503753,2019-01-05,Djere L.,Zeballos H.
2677,1.4,1,1.342141366004944,0.9586724042892456,0.39972170293331144,2018-12-31,Millman J.,Sandgren T.
2773,2.79,0,1.3402887152433394,0.4567666113376617,0.9372648358345032,2019-01-06,Bolt A.,Munar J.
2675,1.96,0,1.3347909179329875,0.4821389317512512,0.7215086042881012,2018-12-31,Munar J.,Albot R.
2758,1.41,1,1.3215053976774214,0.9372378706932067,0.17452212870121003,2019-01-05,Marterer M.,Masur D.
2723,1.44,1,1.3095311737060549,0.9093966484069824,0.1579383358359337,2019-01-02,Dimitrov G.,Millman J.
2800,1.61,1,1.3090957185626029,0.8131029307842255,0.27033583261072636,2019-01-08,Millman J.,Tiafoe F.
